displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
0.85001675,20.954485,21.043406,20.979262,21.0795,20.892811,20.543796,20.619867,20.715551,20.772459,20.873659
0.85704169,20.958188,21.045918,20.984718,21.080928,20.897042,20.549297,20.622865,20.718728,20.778721,20.882278
0.86406662,20.961695,21.048286,20.990151,21.083085,20.904821,20.553656,20.625701,20.723231,20.786908,20.887692
0.87109155,20.965109,21.051794,20.99584,21.085906,20.912535,20.55801,20.628456,20.727755,20.795214,20.89152
0.87811648,20.968263,21.058499,21.001826,21.090586,20.920069,20.562347,20.631421,20.732336,20.803656,20.895158
0.88514141,20.970943,21.064872,21.007986,21.095548,20.925625,20.566568,20.634418,20.737107,20.807918,20.898749
0.89216635,20.973056,21.070846,21.014237,21.100848,20.928812,20.570651,20.637406,20.742109,20.809987,20.902057
0.89919128,20.975047,21.077057,21.022084,21.105854,20.932156,20.574497,20.640502,20.746931,20.811802,20.905289
0.90621621,20.976973,21.083397,21.030074,21.1107,20.935586,20.578215,20.643932,20.751655,20.813563,20.908287
0.91324114,20.978944,21.088177,21.034688,21.114404,20.938923,20.581663,20.647454,20.756862,20.81509,20.913412
0.92026607,20.980929,21.09258,21.038975,21.11789,20.942237,20.585078,20.651094,20.762164,20.816581,20.921267
0.927291,20.983042,21.094616,21.042184,21.121409,20.945402,20.589039,20.654748,20.767508,20.817953,20.926517
0.93431594,20.985188,21.096652,21.044866,21.12491,20.948531,20.593084,20.65841,20.772711,20.819348,20.930234
0.94134087,20.987445,21.098688,21.046836,21.128351,20.951541,20.597421,20.662636,20.777424,20.820775,20.932351
0.9483658,20.989734,21.100715,21.048785,21.131525,20.954376,20.599734,20.666986,20.781843,20.82223,20.93412
0.95539073,20.992069,21.102728,21.050721,21.134324,20.956965,20.599203,20.671434,20.785848,20.823701,20.935813
