displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
1.7702828,29.0408,28.9696,27.6245,27.3179
1.7773078,29.0408,28.9696,27.6333,27.3231
1.7843327,29.0408,28.9696,27.6422,27.3283
1.7913576,29.0408,28.9696,27.651,27.3335
1.7983826,29.0408,28.9696,27.6599,27.3388
1.8054075,29.0408,28.9696,27.6687,27.344
1.8124324,29.0408,28.9748,27.6775,27.3492
1.8194573,29.0408,28.9987,27.6864,27.3545
1.8264823,29.6102,29.0225,27.6952,27.3597
1.8335072,29.6218,29.0463,27.7041,27.3649
1.8405321,29.6206,29.0702,27.7129,27.3701
1.8475571,29.6193,29.3192,27.7218,27.3754
1.854582,29.6181,29.5466,27.7306,27.3806
1.8616069,29.6168,29.5607,27.7394,27.3858
1.8686319,29.6156,29.5745,27.7483,27.391
1.8756568,29.6143,29.5745,27.7571,27.3963
1.8826817,29.6131,29.5745,27.766,27.4015
1.8897067,29.6118,29.5745,27.7748,27.4324
1.8967316,29.6106,29.5745,27.7837,27.4734
1.9037565,29.6445,29.4214,27.7925,27.4656
1.9107815,29.701,29.3206,27.7892,27.4578
1.9178064,29.7383,29.2955,27.7798,27.45
1.9248313,29.7476,29.2967,27.7704,27.4422
1.9318563,29.7568,29.3055,27.761,27.4345
1.9388812,29.7661,29.3143,27.7516,27.4267
1.9459061,29.7753,29.3231,27.7422,27.4189
1.9529311,29.7846,29.3319,27.7328,27.4111
1.959956,29.7938,29.3407,27.7259,27.4074
1.9669809,29.803,29.3495,27.742,27.4403
1.9740059,29.8123,29.3583,27.7582,27.4732
1.9810308,29.8215,29.3671,27.7743,27.5061
1.9880557,29.8308,29.3759,27.7904,27.5245
1.9950806,29.84,29.3847,27.7899,27.5115
2.0021056,29.8493,29.3935,27.7819,27.4984
2.0091305,29.8585,29.4023,27.7738,27.4854
2.0161554,29.8678,29.4111,27.7657,27.5099
2.0231804,29.877,29.4199,27.7577,27.6679
2.0302053,29.8862,29.4287,27.7496,27.7243
2.0372302,29.8955,29.4375,27.7416,27.7243
2.0442552,29.9047,29.4463,27.7335,27.7243
2.0512801,29.914,29.4551,27.7254,27.7243
2.058305,29.9232,29.4639,27.6595,27.6595
2.06533,29.9325,29.4727,27.6532,27.6532
2.0723549,29.9417,29.4815,27.6532,27.6532
2.0793798,29.951,29.4903,27.6532,27.6532
2.0864048,29.9602,29.4991,27.6532,27.6532
2.0934297,29.9694,29.5079,27.6532,27.6532
2.1004546,29.9787,29.5167,27.6532,27.6532
2.1074796,29.9879,29.5255,27.6532,27.6532
2.1145045,29.9972,29.5343,27.6532,27.6532
2.1215294,30.0064,29.5431,27.6532,27.6532
2.1285544,30.0157,29.5519,27.6532,27.6532
2.1355793,30.0249,29.5607,27.6532,27.6532
2.1426042,30.0342,29.5695,27.6532,27.6532
2.1496291,30.0434,29.5783,27.6532,27.6532
2.1566541,30.0526,29.5871,27.6532,27.6532
2.163679,30.0619,29.5931,27.6532,27.6532
2.1707039,30.0711,29.5951,27.6532,27.6532
2.1777289,30.0773,29.5971,27.6532,27.6532
2.1847538,30.0828,29.599,27.6532,27.6532
2.1917787,30.0884,29.601,27.6529,27.6529
2.1988037,30.094,29.603,27.54,27.54
2.2058286,30.0995,29.605,27.5213,27.5228
2.2128535,30.1051,29.607,27.5354,27.5389
2.2198785,30.1107,29.6089,27.5495,27.555
2.2269034,30.1162,29.6109,27.5636,27.5712
2.2339283,30.1218,29.6129,27.5777,27.4687
2.2409533,30.1274,29.6149,27.5918,27.233
2.2479782,30.1329,29.6169,27.5953,27.1735
2.2550031,30.1385,29.6188,27.5849,27.0137
2.2620281,30.1441,29.6208,27.5746,26.8273
2.269053,30.1496,29.6228,27.5642,26.7051
